2023-10-15 08:59:27,950 Model 1, rep:1, n:500, nind:4, iters:0
2023-10-15 08:59:28,363 Model 1, rep:2, n:500, nind:4, iters:0
2023-10-15 08:59:28,815 Model 1, rep:3, n:500, nind:4, iters:0
2023-10-15 08:59:29,257 Model 1, rep:4, n:500, nind:4, iters:0
2023-10-15 08:59:29,811 Model 1, rep:5, n:500, nind:4, iters:0
2023-10-15 08:59:30,364 Model 1, rep:6, n:500, nind:4, iters:0
2023-10-15 08:59:30,887 Model 1, rep:7, n:500, nind:4, iters:0
2023-10-15 08:59:31,501 Model 1, rep:8, n:500, nind:4, iters:0
2023-10-15 08:59:32,077 Model 1, rep:9, n:500, nind:4, iters:0
2023-10-15 08:59:32,638 Model 1, rep:10, n:500, nind:4, iters:0
2023-10-15 08:59:33,173 Model 1, rep:11, n:500, nind:4, iters:0
2023-10-15 08:59:33,685 Model 1, rep:12, n:500, nind:4, iters:0
2023-10-15 08:59:34,241 Model 1, rep:13, n:500, nind:4, iters:0
2023-10-15 08:59:34,628 Model 1, rep:14, n:500, nind:4, iters:0
2023-10-15 08:59:35,228 Model 1, rep:15, n:500, nind:4, iters:0
2023-10-15 08:59:35,689 Model 1, rep:16, n:500, nind:4, iters:0
2023-10-15 08:59:36,268 Model 1, rep:17, n:500, nind:4, iters:0
2023-10-15 08:59:36,678 Model 1, rep:18, n:500, nind:4, iters:0
2023-10-15 08:59:37,189 Model 1, rep:19, n:500, nind:4, iters:0
2023-10-15 08:59:37,639 Model 1, rep:0, n:500, nind:5, iters:0
2023-10-15 08:59:38,210 Model 1, rep:0, n:37547, nind:40, iters:0
2023-10-15 08:59:38,263 Model 1, rep:1, n:500, nind:5, iters:0
2023-10-15 08:59:38,840 Model 1, rep:2, n:500, nind:5, iters:0
2023-10-15 08:59:39,258 Model 1, rep:3, n:500, nind:5, iters:0
2023-10-15 08:59:39,729 Model 1, rep:4, n:500, nind:5, iters:0
2023-10-15 08:59:40,187 Model 1, rep:5, n:500, nind:5, iters:0
2023-10-15 08:59:40,723 Model 1, rep:6, n:500, nind:5, iters:0
2023-10-15 08:59:41,245 Model 1, rep:7, n:500, nind:5, iters:0
2023-10-15 08:59:41,845 Model 1, rep:8, n:500, nind:5, iters:0
2023-10-15 08:59:42,392 Model 1, rep:9, n:500, nind:5, iters:0
2023-10-15 08:59:42,946 Model 1, rep:10, n:500, nind:5, iters:0
2023-10-15 08:59:43,614 Model 1, rep:1, n:21670, nind:25, iters:0
2023-10-15 08:59:43,775 Model 1, rep:11, n:500, nind:5, iters:0
2023-10-15 08:59:44,399 Model 1, rep:12, n:500, nind:5, iters:0
2023-10-15 08:59:44,841 Model 1, rep:13, n:500, nind:5, iters:0
2023-10-15 08:59:45,370 Model 1, rep:14, n:500, nind:5, iters:0
2023-10-15 08:59:45,815 Model 1, rep:15, n:500, nind:5, iters:0
2023-10-15 08:59:46,330 Model 1, rep:16, n:500, nind:5, iters:0
2023-10-15 08:59:46,814 Model 1, rep:17, n:500, nind:5, iters:0
2023-10-15 08:59:47,256 Model 1, rep:18, n:500, nind:5, iters:0
2023-10-15 08:59:47,818 Model 1, rep:19, n:500, nind:5, iters:0
2023-10-15 08:59:48,864 Model 1, rep:0, n:1558, nind:6, iters:0
2023-10-15 08:59:50,084 Model 1, rep:1, n:1558, nind:6, iters:0
2023-10-15 08:59:51,262 Model 1, rep:2, n:1558, nind:6, iters:0
2023-10-15 08:59:52,512 Model 1, rep:0, n:53425, nind:55, iters:0
2023-10-15 08:59:52,978 Model 1, rep:3, n:1558, nind:6, iters:0
2023-10-15 08:59:54,054 Model 1, rep:4, n:1558, nind:6, iters:0
2023-10-15 08:59:55,261 Model 1, rep:5, n:1558, nind:6, iters:0
2023-10-15 08:59:56,490 Model 1, rep:6, n:1558, nind:6, iters:0
2023-10-15 08:59:57,775 Model 1, rep:7, n:1558, nind:6, iters:0
2023-10-15 08:59:58,845 Model 1, rep:8, n:1558, nind:6, iters:0
2023-10-15 08:59:59,950 Model 1, rep:9, n:1558, nind:6, iters:0
2023-10-15 09:00:01,253 Model 1, rep:10, n:1558, nind:6, iters:0
2023-10-15 09:00:01,980 Model 1, rep:2, n:21670, nind:25, iters:0
2023-10-15 09:00:02,651 Model 1, rep:11, n:1558, nind:6, iters:0
2023-10-15 09:00:03,954 Model 1, rep:12, n:1558, nind:6, iters:0
